iter	Passed	Remaining
460	792	926
461	793	924
462	794	922
463	796	919
464	797	917
465	798	915
466	799	912
467	801	910
468	802	908
469	803	906
470	806	905
471	807	903
472	808	900
473	809	898
474	812	897
475	813	895
476	814	893
477	816	891
478	817	889
479	818	886
480	819	884
481	821	882
482	822	880
483	824	879
484	826	877
485	827	875
486	828	873
487	830	871
488	831	868
489	832	866
490	833	864
491	835	862
492	836	859
493	837	857
494	840	857
495	842	855
496	843	853
497	844	850
498	845	848
499	846	846
500	847	844
501	848	841
502	849	839
503	850	837
504	851	835
505	855	835
506	857	833
507	858	831
508	860	829
509	861	827
510	862	825
511	863	822
512	864	820
513	865	818
514	866	816
515	871	817
516	872	815
517	874	813
518	876	811
519	877	810
520	878	808
521	880	806
522	881	804
523	887	806
524	889	804
525	890	802
526	892	800
527	893	798
528	895	797
529	896	795
530	898	793
531	903	794
532	904	792
533	906	790
534	907	788
535	909	787
536	910	785
537	911	783
538	913	781
539	916	781
540	918	779
541	919	777
542	920	774
543	922	772
544	923	770
545	924	768
546	925	766
547	927	764
548	931	764
549	932	762
550	933	760
551	934	758
552	936	756
553	937	754
554	938	752
555	939	750
556	941	748
557	942	746
558	944	745
559	946	743
560	948	741
561	949	739
562	950	737
563	951	735
564	953	733
565	954	731
566	955	729
567	956	727
568	960	727
569	961	725
570	962	723
571	964	721
572	965	719
573	966	717
574	968	715
575	969	713
576	970	711
577	971	709
578	974	708
579	975	706
580	977	704
581	978	702
582	979	700
583	980	698
584	982	696
585	983	694
586	984	692
587	985	690
588	987	688
589	989	687
590	991	685
591	992	684
592	994	682
593	995	680
594	997	678
595	998	676
596	1000	675
597	1001	673
598	1002	671
599	1005	670
600	1006	668
601	1007	666
602	1008	664
603	1009	662
604	1011	660
605	1012	658
606	1013	656
607	1015	654
608	1016	652
609	1019	651
610	1020	649
611	1021	647
612	1023	645
613	1024	643
614	1025	642
615	1027	640
616	1028	638
617	1029	636
618	1030	634
619	1032	632
620	1035	631
621	1036	629
622	1037	627
623	1038	625
624	1041	624
625	1042	623
626	1044	621
627	1045	619
628	1047	617
629	1049	616
630	1051	614
631	1052	613
632	1054	611
633	1055	609
634	1057	607
635	1058	605
636	1062	605
637	1064	604
638	1066	602
639	1068	600
640	1070	599
641	1071	597
642	1073	596
643	1079	596
644	1081	595
645	1083	593
646	1085	592
647	1087	590
648	1088	588
649	1090	587
650	1096	588
651	1098	586
652	1100	584
653	1102	583
654	1104	581
655	1105	579
656	1111	580
657	1113	578
658	1114	576
659	1116	575
660	1118	573
661	1119	571
662	1120	569
663	1126	569
664	1127	568
665	1137	570
666	1139	569
667	1142	567
668	1145	566
669	1147	565
670	1153	565
671	1155	563
672	1156	562
673	1158	560
674	1159	558
675	1161	556
676	1162	554
677	1167	554
678	1168	552
679	1171	551
680	1172	549
681	1175	547
682	1177	546
683	1182	546
684	1185	545
685	1188	543
686	1189	541
687	1193	541
688	1197	540
689	1199	538
690	1200	537
691	1202	535
692	1203	533
693	1205	531
694	1206	529
695	1208	527
696	1210	526
697	1211	524
698	1215	523
699	1216	521
700	1217	519
701	1219	517
702	1220	515
703	1224	514
704	1227	513
705	1228	511
706	1230	509
707	1231	507
708	1232	506
709	1234	504
710	1235	502
711	1238	501
712	1241	499
713	1242	497
714	1243	495
715	1244	493
716	1246	491
717	1247	489
718	1248	487
719	1249	486
720	1254	485
721	1255	483
722	1256	481
723	1258	479
724	1259	477
725	1260	475
726	1261	473
727	1263	471
728	1264	470
729	1266	468
730	1270	467
731	1271	465
732	1272	463
733	1274	461
734	1275	459
735	1276	457
736	1277	456
737	1279	454
738	1280	452
739	1281	450
740	1282	448
741	1284	446
742	1285	444
743	1286	442
744	1288	440
745	1289	439
746	1290	437
747	1291	435
748	1296	434
749	1297	432
750	1299	430
751	1300	428
752	1302	427
753	1303	425
754	1304	423
755	1306	421
756	1307	419
757	1309	418
758	1310	416
759	1312	414
760	1314	412
761	1315	410
762	1316	408
763	1317	407
764	1319	405
765	1320	403
766	1322	401
767	1323	399
768	1325	398
769	1326	396
770	1327	394
771	1329	392
772	1330	390
773	1331	388
774	1332	386
775	1336	385
776	1337	383
777	1339	382
778	1340	380
779	1341	378
780	1342	376
781	1344	374
782	1345	372
783	1346	370
784	1347	369
785	1352	368
786	1353	366
787	1354	364
788	1355	362
789	1357	360
790	1358	358
791	1359	357
792	1360	355
793	1361	353
794	1363	351
795	1368	350
796	1369	348
797	1370	346
798	1371	345
799	1373	343
800	1374	341
801	1375	339
802	1376	337
803	1378	335
804	1382	334
805	1384	333
806	1385	331
807	1386	329
808	1388	327
809	1389	325
810	1390	324
811	1392	322
812	1393	320
813	1396	318
814	1397	317
815	1398	315
816	1399	313
817	1400	311
818	1402	309
819	1403	308
820	1404	306
821	1406	304
822	1410	303
823	1411	301
824	1412	299
825	1414	297
826	1415	296
827	1416	294
828	1417	292
829	1419	290
830	1420	288
831	1421	287
832	1425	285
833	1427	284
834	1428	282
835	1429	280
836	1431	278
837	1432	276
838	1433	275
839	1434	273
840	1436	271
841	1439	270
842	1440	268
843	1442	266
844	1443	264
845	1444	262
846	1445	261
847	1447	259
848	1448	257
849	1449	255
850	1450	254
851	1455	252
852	1456	251
853	1457	249
854	1459	247
855	1460	245
856	1461	243
857	1462	242
858	1463	240
859	1465	238
860	1466	236
861	1467	234
862	1469	233
863	1470	231
864	1472	229
865	1473	227
866	1475	226
867	1476	224
868	1478	222
869	1483	221
870	1484	219
871	1486	218
872	1487	216
873	1489	214
874	1490	212
875	1492	211
876	1493	209
877	1495	207
878	1497	206
879	1498	204
880	1499	202
881	1500	200
882	1502	199
883	1503	197
884	1504	195
885	1505	193
886	1510	192
887	1511	190
888	1513	188
889	1514	187
890	1515	185
891	1516	183
892	1518	181
893	1519	180
894	1520	178
895	1524	176
896	1526	175
897	1527	173
898	1529	171
899	1530	170
900	1531	168
901	1532	166
902	1534	164
903	1535	163
904	1536	161
905	1538	159
906	1540	157
907	1544	156
908	1556	155
909	1557	154
910	1559	152
911	1560	150
912	1561	148
913	1563	147
914	1564	145
915	1565	143
916	1568	141
917	1569	140
918	1571	138
919	1573	136
920	1577	135
921	1582	133
922	1584	132
923	1587	130
924	1588	128
925	1590	127
926	1592	125
927	1593	123
928	1598	122
929	1600	120
930	1604	118
931	1606	117
932	1608	115
933	1611	113
934	1615	112
935	1617	110
936	1619	108
937	1621	107
938	1622	105
939	1624	103
940	1626	101
941	1628	100
942	1630	98
943	1631	96
944	1632	95
945	1633	93
946	1634	91
947	1635	89
948	1636	87
949	1637	86
950	1638	84
951	1642	82
952	1643	81
953	1644	79
954	1645	77
955	1647	75
956	1648	74
957	1649	72
958	1650	70
959	1651	68
960	1652	67
961	1653	65
962	1656	63
963	1657	61
964	1658	60
965	1660	58
966	1661	56
967	1662	54
968	1664	53
969	1666	51
970	1667	49
971	1671	48
972	1673	46
973	1674	44
974	1675	42
975	1677	41
976	1678	39
977	1679	37
978	1681	36
979	1683	34
980	1685	32
981	1687	30
982	1688	29
983	1689	27
984	1691	25
985	1692	24
986	1693	22
987	1694	20
988	1696	18
989	1700	17
990	1701	15
991	1702	13
992	1703	12
993	1705	10
994	1706	8
995	1707	6
996	1708	5
997	1709	3
998	1711	1
999	1713	0
